user_pseudo_id,event_dates,event_timestamp,transaction_id,product_names,product_ids,item_revenue_mapped_to_names,item_revenue_mapped_to_ids,total_item_quantity,product_category,product_category_2,product_color,country,region,city,device_category,brand_name,model_name,traffic_source_name,traffic_source_medium,traffic_source_source,ecommerce_purchase_revenue,ecommerce_refund_value,ecommerce_shipping_value,ecommerce_tax_value
1681627719.1664088528,11-04-2024,1712835164894374,8000143713,Black Floral Flared Gown,8905724003370,Black Floral Flared Gown:4499,8905724003370:4499,1,Dresses,All Clothing,black,India,West Bengal,Durgapur,mobile,Vivo,1807,ANS 2024 | MOF | Feed Only Remarketing,Remarketing Audiences - (Only Discounted),FB Ads,2250.0,,0.0,0.0
276315954.1712196543,11-04-2024,1712810962896685,8000143707,Neelakshi Embroidered Dress,8905724373251,Neelakshi Embroidered Dress:2690,8905724373251:2690,1,Dresses,All Clothing,navy blue,India,Maharashtra,Mumbai,mobile,Apple,iPhone,(direct),(none),(direct),1445.0,,100.0,0.0
985900430.1712040464,11-04-2024,1712829057464582,8000143806,Ink Straight Bottoms,8905724342608,Ink Straight Bottoms:1590,8905724342608:1590,1,Bottoms,All Clothing,indigo,India,Maharashtra,Pimpri-Chinchwad,mobile,Apple,iPhone,(direct),(none),(direct),895.0,,100.0,0.0
2015453091.1712648918,11-04-2024,1712846640651656,8000143716,"Moon Child Set, Gulabi Geet Co-ords Set","8907641568031, 8905724246531","Gulabi Geet Co-ords Set:2590, Moon Child Set:2990","8907641568031:2590, 8905724246531:2990",2,"Black Friday Sale, Co-ords","Sale, All Clothing",black,India,Maharashtra,Mumbai,mobile,Apple,iPhone,(direct),(none),(direct),2511.0,,0.0,0.0
985900430.1712040464,11-04-2024,1712824629699041,8000143805,"Off white Viscose Blend Wide Leg Pants, Solid Straight Bottom","8905724585104, 8905724186905","Off white Viscose Blend Wide Leg Pants:1690, Solid Straight Bottom:1699","8905724585104:1690, 8905724186905:1699",2,"Bottoms, Casual Wear","Collections, All Clothing",navy blue,India,Maharashtra,Mumbai,mobile,Apple,iPhone,(direct),(none),(direct),2540.0,,0.0,0.0
111831413.1711981946,11-04-2024,1712833815653962,8000143712,"Ikat Print Viscose Cropped Co-Ord, Floral Embroidered Teal Top","8905724444678, 8905724413650","Ikat Print Viscose Cropped Co-Ord:3490, Floral Embroidered Teal Top:1990","8905724444678:1990, 8905724413650:3490",2,"Co-ords, Tops",All Clothing,black,India,Uttar Pradesh,Lucknow,mobile,Samsung,SM-G990B2,ANS 2024 | TOF | Feed Categorywise Audience,Dress & Jumpsuit Feed - (Mixed),FB Ads,5480.0,,0.0,0.0
1015150582.1712799794,11-04-2024,1712802492208306,8000143598,"Grove Blouson Top, Wanderer top","8905724371998, 8905724375538","Grove Blouson Top:2090, Wanderer top:1590","8905724375538:2090, 8905724371998:1590",2,Tops,All Clothing,black,India,Tamil Nadu,Chennai,mobile,Apple,iPhone,(direct),(none),(direct),3680.0,,0.0,0.0
651872218.1712799565,11-04-2024,1712803007936493,8000143706,"Flare It Up Maxi Dress, Jodhpur Maxi Dress, Neelakshi Embroidered Dress","8905724361494, 8905724413889, 8905724373237","Flare It Up Maxi Dress:3490, Neelakshi Embroidered Dress:2690, Jodhpur Maxi Dress:3990","8905724361494:3990, 8905724413889:3490, 8905724373237:2690",3,Dresses,All Clothing,navy blue,India,Maharashtra,Mumbai,desktop,Google,Chrome,(organic),organic,google,7942.0,,0.0,0.0
999192837.1712812530,11-04-2024,1712831308012260,8000143709,"Beige Solid Straight Bottom, Solid Straight Bottom","8905724067884, 8905724186820, 8905134854326","Beige Solid Straight Bottom:1499, Solid Straight Bottom:1699","8905724186820:1699, 8905724067884:1699, 8905134854326:1499",3,Bottoms,All Clothing,beige,India,Delhi,Delhi,mobile,Apple,iPhone,(organic),organic,google,2450.0,,0.0,0.0
1966017279.1686984950,11-04-2024,1712814082291959,8000143708,"Pink Ethnic Motifs Peplum Top, Wine Solid Straight Top, Waves Straight Top","8905134927211, 8905134685579, 8905724369537","Waves Straight Top:1590, Wine Solid Straight Top:2299, Pink Ethnic Motifs Peplum Top:1599","8905134927211:2299, 8905724369537:1590, 8905134685579:1599",3,Tops,All Clothing,pink,India,Haryana,Faridabad,mobile,OnePlus,CPH2487,GD|ANS|Brand|Search|Exact|,cpc,google,2745.0,,0.0,0.0
121217652.1712841562,11-04-2024,1712845969732216,8000143809,"Warli Inspired Wrap Co-ord, Abstract floral co-ord, The Monochrome Vibe Co-Ord Set, Floral Embroidered Blue Co-ord Set","8905724414411, 8907641565450, 8905724585197, 8905724593567","The Monochrome Vibe Co-Ord Set:48, Floral Embroidered Blue Co-ord Set:60, Warli Inspired Wrap Co-ord:53, Abstract floral co-ord:60","8907641565450:48, 8905724585197:53, 8905724414411:60, 8905724593567:60",4,Co-ords,All Clothing,white,Singapore,,Singapore,desktop,Microsoft,Edge,(direct),(none),(direct),221.0,,0.0,0.0
799057179.1712821065,11-04-2024,1712821802411877,8000143804,"Beige Solid Flared Sharara, Light Blue Tie & Dye Flared Kurta","8905134815686, 8905134932895","Beige Solid Flared Sharara:2599, Light Blue Tie & Dye Flared Kurta:2699","8905134932895:2699, 8905134815686:2599",2,"Bottoms, Kurtas","All Clothing, Kurtas &amp; Kurta Sets",beige,India,Maharashtra,Pune,mobile,Samsung,SM-A715F,Global Desi - Brand Search Alone | Exact | (ROAS - 200),cpc,google,2650.0,,0.0,0.0
1159163649.1712840333,11-04-2024,1712850878610081,8000143717,"Gold Footwear, Multi Color Sandal","8905134729716, 8905134973874","Multi Color Sandal:2099, Gold Footwear:2199","8905134729716:2099, 8905134973874:2199",2,Footwear,All Accessories,multi color,India,Madhya Pradesh,Gwalior,mobile,Apple,iPhone,ADH_GD_SS24_SUMMRFRDFABR_CATALOGUE_DORMANT_OMNI_WA_WK02_13042024,WA,SFMC,2150.0,,0.0,0.0
1552932555.1712783656,11-04-2024,1712784490440080,8000143597,"Hot Pink Floral Flared Set-2, Pink Floral Flared Gown","8905134976561, 8905724232060","Hot Pink Floral Flared Set-2:2499, Pink Floral Flared Gown:3099","8905724232060:2499, 8905134976561:3099",2,"Kurta Sets, Dresses","Kurtas &amp; Kurta Sets, All Clothing",pink,India,Karnataka,Bengaluru,mobile,Xiaomi,M2102J20SI,Global Desi - Performance max | Sales (TROAS- 450),cpc,google,2800.0,,0.0,0.0
611845551.1713024766,13-04-2024,1713025396124321,8000143756,Riddle Me Black Blouson Top,8905724373428,Riddle Me Black Blouson Top:1690,8905724373428:1690,1,Tops,All Clothing,black,India,Karnataka,Bengaluru,mobile,Samsung,SM-S901E,ADH_GD_EOSS_FLAT50OFF_REPUBLICDAY_ONL_SMS_WK43_25012024,SMS,SFMC,945.0,,100.0,0.0
521526276.1682685826,13-04-2024,1713011678161678,8000143835,"Lime n' Peplum Top, Warli Inspired Brick Red Viscose Kurta Set","8905724565571, 8905724539572","Lime n' Peplum Top:1590, Warli Inspired Brick Red Viscose Kurta Set:3990","8905724565571:3990, 8905724539572:1590",2,"Tops, Kurta Sets","All Clothing, Kurtas &amp; Kurta Sets",lime green,India,Karnataka,Bengaluru,mobile,OnePlus,CPH2423,GD|ANS|Brand|Search|Exact|,cpc,google,5580.0,,0.0,0.0
661672695.1665390950,13-04-2024,1713012534924581,8000143753,"Ink Straight Bottoms, Casual Straight Bottom, Kohl Casual Pants, Alani Top, Solid Straight Bottom, Navy Solid Bottom, White Solid Straight Bottom, Pink Solid Straight Bottom, Pop Of Pink top","8905724342646, 8905724009693, 8905724208164, 8905724372056, 8905134641636, 8905134638872, 8905724067884, 8905724342462, 8905724004599, 8905724186820, 8905134828839, 8905134828594","Ink Straight Bottoms:22, Kohl Casual Pants:20, Alani Top:20, Pink Solid Straight Bottom:31, Casual Straight Bottom:23, Navy Solid Bottom:31, White Solid Straight Bottom:20, Solid Straight Bottom:23, Pop Of Pink top:34","8905724342462:20, 8905134828839:23, 8905134638872:31, 8905134828594:23, 8905724372056:20, 8905134641636:23, 8905724342646:22, 8905724186820:23, 8905724067884:23, 8905724009693:34, 8905724208164:20, 8905724004599:31",12,"Bottoms, Tops, Black Friday Sale","Sale, All Clothing",natural,United States,New Jersey,Edison,desktop,Apple,Safari,HOAD | US | Brand | Search | Exact,cpc,google,150.0,,0.0,0.0
541054563.1708110462,13-04-2024,1712995980151387,8000143750,Lime green Embroidered Anarkali Kurta Set,8905724480546,Lime green Embroidered Anarkali Kurta Set:8490,8905724480546:8490,1,Kurta Sets,Kurtas &amp; Kurta Sets,lime,India,Jharkhand,Ranchi,mobile,Samsung,SM-A3460,(direct),(none),(direct),8490.0,,0.0,0.0
642335369.1712775692,13-04-2024,1713021903286997,8000143838,Navy Blue Ethnic Motifs Straight Suit,8905134932543,Navy Blue Ethnic Motifs Straight Suit:4299,8905134932543:4299,1,Kurta Sets,Kurtas &amp; Kurta Sets,navy blue,India,Maharashtra,Mumbai,mobile,Apple,iPhone,(direct),(none),(direct),1720.0,,0.0,0.0
1537509757.1712316362,13-04-2024,1713010944591833,8000143752,"Floral Flared Suit, Mustard Floral Straight Suit, Geometric Blue Viscose Kurta, The Kali Kurta","8905134849919, 8905724695773, 8905724251559, 8905134889083","Mustard Floral Straight Suit:6699, Geometric Blue Viscose Kurta:2690, Floral Flared Suit:5499, The Kali Kurta:1990","8905724251559:1990, 8905134889083:6699, 8905724695773:2690, 8905134849919:5499",4,"Kurta Sets, Kurtas, Casual Wear","Kurtas &amp; Kurta Sets, Collections",mustard,United States,Illinois,Hawthorn Woods,mobile,Google,Pixel 7,(direct),(none),(direct),8565.0,,0.0,0.0
1792203487.1713001240,13-04-2024,1713001520240661,8000143833,Tan Ladies Purse,8905134644200,Tan Ladies Purse:2999,8905134644200:2999,1,Bags,All Accessories,null,India,Uttar Pradesh,Moradabad,desktop,Apple,Safari,(organic),organic,google,1500.0,,0.0,0.0
1829470951.1712985699,13-04-2024,1712986063663326,8000143829,Black Floral Flared Gown,8905724003370,Black Floral Flared Gown:4499,8905724003370:4499,1,Dresses,All Clothing,black,India,Assam,Guwahati,mobile,Samsung,SM-G781B,(organic),organic,google,2250.0,,0.0,0.0
