State/Union Territory,Power_Requirement_Net_Crore_Units_kiloWatt-Hour,Availability_Of_Power_Net_Crore_Units_kiloWatt-Hour,Installed_Power_Capacity_MegaWatt,End_Year,population(million),Region,rel_pop,rel_infras_eco,Region_means_encoded,Region_encoded_normalized,Region_encoded_standardized
Andhra Pradesh,5042.0,5006.0,10809.0,2005,76.20642411325925,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Arunachal Pradesh,16.0,16.0,187.0,2005,1.111883252258513,NER,2,2,156.97037037037038,0.0,-1.6522266724460715
Assam,379.0,358.0,1133.0,2005,26.63690476190476,NER,4,4,156.97037037037038,0.0,-1.6522266724460715
Bihar,720.0,648.0,1644.0,2005,83.07692307692308,ER,4,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Chandigarh,116.0,115.0,79.0,2005,0.9021730603279202,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Chhattisgarh,1175.0,1155.0,1633.0,2005,20.829576194770063,ER,1,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Dadra and Nagar Haveli,183.0,183.0,38.0,2005,0.2204898972252009,WR,1,1,4541.141176470588,1.0,1.1983805361083646
Daman and Diu,112.0,112.0,14.0,2005,0.15834641105031738,WR,1,1,4541.141176470588,1.0,1.1983805361083646
Delhi,2116.0,2095.0,3426.0,2005,13.849408342698485,NR,2,2,3255.4640522875816,0.7067456581768915,0.36242759536752484
Goa,215.0,215.0,305.0,2005,1.3501632755589048,WR,2,2,4541.141176470588,1.0,1.1983805361083646
Gujarat,5968.0,5272.0,9291.0,2005,50.667948101874096,WR,3,3,4541.141176470588,1.0,1.1983805361083646
Haryana,2180.0,2056.0,3934.0,2005,21.14356232003291,NR,3,2,3255.4640522875816,0.7067456581768915,0.36242759536752484
Himachal Pradesh,400.0,392.0,1687.0,2005,6.082234290147401,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Jammu and Kashmir,814.0,739.0,1502.0,2005,10.148310903597912,NR,2,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Jharkhand,363.0,355.0,1897.0,2005,26.95520121488231,ER,2,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Karnataka,3516.0,3369.0,7557.0,2005,52.85534985880138,SR,3,2,4034.8611111111113,0.88452090765829,0.8691950030417623
Kerala,1269.0,1254.0,3473.0,2005,31.843575418994412,SR,2,2,4034.8611111111113,0.88452090765829,0.8691950030417623
Madhya Pradesh,3481.0,3010.0,5770.0,2005,60.35692801283337,ER,3,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Maharashtra,9272.0,8154.0,15669.0,2005,96.87537127242484,WR,4,3,4541.141176470588,1.0,1.1983805361083646
Manipur,54.0,52.0,159.0,2005,2.1541010770505387,NER,2,2,156.97037037037038,0.0,-1.6522266724460715
Meghalaya,137.0,123.0,299.0,2005,2.3225075528700905,NER,3,3,156.97037037037038,0.0,-1.6522266724460715
Mizoram,24.0,22.0,121.0,2005,0.8807045636509206,NER,1,1,156.97037037037038,0.0,-1.6522266724460715
Nagaland,33.0,32.0,120.0,2005,1.9656019656019654,NER,2,1,156.97037037037038,0.0,-1.6522266724460715
Odisha,1398.0,1388.0,3428.0,2005,36.816976127320956,ER,2,2,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Puducherry,154.0,154.0,245.0,2005,0.9762282091917591,SR,1,1,4034.8611111111113,0.88452090765829,0.8691950030417623
Punjab,3339.0,3038.0,6183.0,2005,24.356610278200915,NR,3,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Rajasthan,2921.0,2897.0,7607.0,2005,56.504778622976396,NR,4,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Tamil Nadu,4787.0,4757.0,11493.0,2005,62.403253312344226,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Tripura,70.0,64.0,239.0,2005,3.193612774451098,NER,4,2,156.97037037037038,0.0,-1.6522266724460715
Uttar Pradesh,5202.0,4157.0,8182.0,2005,166.21351459416235,NR,4,3,3255.4640522875816,0.7067456581768915,0.36242759536752484
Uttarakhand,463.0,447.0,1443.0,2005,8.49002849002849,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
West Bengal,2316.0,2279.0,5565.0,2005,80.19000703729768,ER,4,3,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Andaman and Nicobar Islands,24.0,17.0,71.0,2006,0.3647285990130873,ER,1,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Andhra Pradesh,5303.0,5233.0,11325.0,2006,76.20503859035969,SR,4,3,4034.8611111111113,0.88452090765829,0.8691950030417623
Arunachal Pradesh,21.0,21.0,179.0,2006,1.119402985074627,NER,2,2,156.97037037037038,0.0,-1.6522266724460715
Assam,405.0,378.0,1131.0,2006,26.676076217360624,NER,4,4,156.97037037037038,0.0,-1.6522266724460715
Bihar,796.0,722.0,1629.0,2006,82.98850574712644,ER,4,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Chandigarh,126.0,126.0,86.0,2006,0.9020618556701031,NR,1,1,3255.4640522875816,0.7067456581768915,0.36242759536752484
Chhattisgarh,1301.0,1254.0,1649.0,2006,20.834025585645456,ER,1,1,2331.3389830508477,0.4959589187663538,-0.23844260346383955
Dadra and Nagar Haveli,254.0,253.0,38.0,2006,0.22040247408310829,WR,1,1,4541.141176470588,1.0,1.1983805361083646
Daman and Diu,135.0,132.0,14.0,2006,0.15784564609092866,WR,1,1,4541.141176470588,1.0,1.1983805361083646
Delhi,2160.0,2128.0,3513.0,2006,13.849658314350798,NR,2,2,3255.4640522875816,0.7067456581768915,0.36242759536752484
Goa,234.0,234.0,305.0,2006,1.348858658058566,WR,2,2,4541.141176470588,1.0,1.1983805361083646
