cluster,user_pseudo_id,product_id_name,product_category_list,product_category_2_list,recency,frequency,monetary
0,1157804270.171024,{'8905134073963': 'Black Floral Printed A-Line Top'},['Tops'],['All Clothing'],82,1,575.0
1,1174445624.170637,"{'8905134077671': 'Solid Curved Kurta', ' 8905134641575': ' Black Floral Curved Kurta', ' 8905134635635': ' Sage Green Embroidered A-Line Midi Kurta'}",['Kurtas'],['Kurtas &amp; Kurta Sets'],127,1,1552.0
0,1606282585.1710684,"{'8905134102120': 'Maroon Scraf', ' 8905724085987': ' Pink Scarf', ' 8905724416323': ' Blue Scarf'}",['Scarves &amp; Stoles'],['All Accessories'],77,1,1750.0
1,1699996908.169204,"{'8905134102212': 'GREY SCARF', ' 8905724152528': ' Blue Viscose Scarf', ' 8905724152597': ' Gold Chanderi Scarf', ' 8905134973003': ' Tapered Bottom', ' 8905134533009': ' Beige Print Scarf'}","['Bottoms', ' Scarves &amp; Stoles', ' All Accessories']","['All Accessories', ' All Clothing', ' Women']",130,2,5610.0
1,1699996908.169204,"{'8905134912972': 'Beige Chanderi Scarf', ' 8905134911821': ' Foil Print Flared Slip-On Shrug', ' 8905724152535': ' Straight Slip-On Tapered Bottom', ' 8905134911623': ' Rose Pink Gathers or Pleats Fit and Flare Top', ' 8905134560050': ' Black Viscose Scarf', ' 8905134102380': ' White Geometric Flared Slip-On Top'}","['Bottoms', ' Jackets/Shrugs', ' Tops', ' Scarves &amp; Stoles']","['All Accessories', ' All Clothing', ' New']",130,2,5610.0
0,1236389008.1714334,"{'8905134102397': 'Teal Scarf\xa0', ' 8905134968672': ' Peach Scarf\xa0', ' 8905724152542': ' Pink Scarf', ' 8905134146384': ' Multi color Scarf', ' 8905134188018': ' Mustard Scarf'}",['Scarves &amp; Stoles'],['All Accessories'],30,2,6893.0
0,1236389008.1714334,"{'8905724152528': 'Blue Viscose Scarf', ' 8905134707653': ' Green Georgette Scarf'}",['Scarves &amp; Stoles'],['All Accessories'],30,2,6893.0
1,1825092664.1634629,"{'8905134146377': 'BLACK SCARF', ' 8905724375637': ' Fire Of Forest Dress'}","['Dresses', ' Scarves &amp; Stoles']","['All Accessories', ' All Clothing']",120,1,1695.0
1,2120368013.1706269,{'8905134160113': 'Beige Embroidered Shirt Crop Top'},['Tops'],['All Clothing'],126,1,575.0
1,338587616.1698422,"{'8905134187998': 'Green Scarf', ' 8905724152535': ' Black Viscose Scarf', ' 8905134972983': ' Multi Print Scarf'}","['All Accessories', ' Scarves &amp; Stoles']","['All Accessories', ' Women']",126,1,1300.0
1,1340762480.1706853,{'8905134219460': 'Beige Geometric Printed Crop Top'},['Clearance Sale'],['Sale'],121,1,550.0
1,523581950.1705311,{'8905134219774': 'Beige Geometric Printed Crop Top'},['Clearance Sale'],['Sale'],134,1,610.0
1,703587639.1698292,{'8905134230854': 'White Solid Embroidered A-Line Kurta'},['Clearance Sale'],['Sale'],121,1,850.0
2,1602220443.1705592,{'8905134233725': 'Solid Bottom'},['Black Friday Sale'],['Sale'],58,3,6340.0
2,1602220443.1705592,"{'8905134829065': 'Off White Floral Straight Slip-On Bottom', ' 8905134911395': ' Solid Straight Bottom'}",['Bottoms'],['All Clothing'],58,3,6340.0
2,1602220443.1705592,{'8905134930600': 'Indigo Ethnic Motifs Straight Suit'},['Kurta Sets'],['Kurtas &amp; Kurta Sets'],58,3,6340.0
1,881296003.1705151,"{'8905134233725': 'Yellow Ethnic Motifs Flared Kurta', ' 8905724174766': ' Solid Bottom', ' 8905724175725': ' Solid Straight Bottom', ' 8905134828655': ' Green Floral Straight Set of 2'}","['Black Friday Sale', ' Kurtas', ' Kurta Sets']","['Sale', ' Kurtas &amp; Kurta Sets']",121,1,4070.0
1,418110819.1708688,"{'8905134233756': 'Solid Straight Bottom', ' 8905134828204': ' Solid Bottom'}","['Bottoms', ' Black Friday Sale']","['All Clothing', ' Sale']",100,1,3300.0
1,2108797090.168968,"{'8905134233770': 'Tapered Bottom', ' 8905134532996': ' Solid Bottom', ' 8905724208157': ' White Solid Straight Bottom'}","['Black Friday Sale', ' Bottoms']","['All Clothing', ' Sale']",135,1,2150.0
1,2088575993.1706388,"{'8905134315520': 'Grey Colourblocked Round Neck A-Line Midi Kurta', ' 8905724017421': ' Embroidered A-Line Dress', ' 8905724154362': ' Straight Slip-On Tapered Bottom', ' 8905134432029': ' Pink Brass Earring', ' 8905134436348': ' Midnight Blue Embroidered Solid Dress', ' 8905134911623': ' Yellow Embroidered Solid Dress', ' 8905724372889': ' White Solid Bottom', ' 8905134902867': ' Solid Curved Kurta', ' 8905134826408': ' Turquoise Alloy Brass Earring', ' 8905134831419': ' Say Cheese Tunic Set', ' 8905134736158': ' Peach Solid Straight Tunic'}","['Jewellery', ' Bottoms', ' Dresses', ' Kurta Sets', ' Kurtas']","['All Clothing', ' New', ' All Accessories', ' Kurtas &amp; Kurta Sets']",125,1,7675.0
1,1652913350.1701872,"{'8905134315520': 'Pink Floral Trapeze Dress', ' 8905724177033': ' Off White Foil Print Flared Set of 2', ' 8905134827504': ' Grey Colourblocked Round Neck A-Line Midi Kurta', ' 8905724000218': ' Pink Solid Embroidered Shirt Style Shrug'}","['Jackets/Shrugs', ' Kurta Sets', ' Dresses', ' Kurtas']","['Kurtas &amp; Kurta Sets', ' All Clothing']",129,1,4800.0
1,1601517785.1706152,{'8905134315599': 'Grey Colourblocked Round Neck A-Line Top'},['Tops'],['All Clothing'],129,1,650.0
1,513737235.17064565,{'8905134378495': 'Natural Checks Embroidered A-Line Kurta'},['Clearance Sale'],['Sale'],126,1,1000.0
1,128981178.17074716,{'8905134418221': 'Solid Three-Quarter Sleeves Tunic'},['Super Pants'],['Collections'],114,1,950.0
1,35956082.169715635,{'8905134422051': 'Blue Floral Printed Dress'},['Dresses'],['All Clothing'],131,1,550.0
1,801832234.1706277,"{'8905134431435': 'Teal Ethnic Motifs Fit & Flare Dress', ' 8905134685395': ' Yellow Geometric Asymmetric Dress'}",['Dresses'],['All Clothing'],128,1,1330.0
1,1711469971.170438,"{'8905134432050': 'Dark Blue Solid Straight Bottom', ' 8905724208126': ' White Solid Straight Bottom', ' 8905724192500': ' White Solid Tie-Ups Straight Top'}","['Tops', ' Bottoms']",['All Clothing'],137,1,1528.0
0,1282167788.1710649,"{'8905134432104': 'Coral Tie-Ups Floral Dress', ' 8905724192302': ' Peach Floral Flared Gown', ' 8905724196140': ' Solid Embroidered Fit And Flare Top', ' 8905134830719': ' Pink Floral Lace A-Line Set', ' 8905724192487': ' Blue Cobalt Floral Dress', ' 8905724193446': ' Pink Peplum Top', ' 8905724136870': ' Fringes Solid Bottom', ' 8905134725053': ' White Floral Smocking Fit And Flare Gown', ' 8905724190926': ' Dark Blue Solid Straight Bottom', ' 8905134831075': ' Aqua Peplum Top', ' 8905724191282': ' Pink Gathers or Pleats Geometric Gown', ' 8905134650157': ' Blue Vintage Floral Peplum Top', ' 8905724193866': ' Lilac Floral Lace A-Line Set'}","['Dresses', ' Sets', ' Bottoms', ' Tops']",['All Clothing'],77,1,150.0
1,388327471.1708778,"{'8905134432357': 'Blue Embroidered Solid Jumpsuit', ' 8905724196515': ' Peach One-Shoulder Dress'}","['Jumpsuits', ' Dresses']",['All Clothing'],99,1,1560.0
1,1175361585.170694,"{'8905134432951': 'White Sleeveless Flared Top', ' 8905724198076': ' Red Floral Tassel Peplum Top', ' 8905134830542': ' Embroidered Solid Jump Suit', ' 8905724196690': ' Solid  Shorts', ' 8905134433255': ' White Embroidered Solid Shorts', ' 8905134432173': ' Mint Gathers or Pleats Geometric Shorts', ' 8905134431756': ' Midnight Blue Ruffles Solid Skirt', ' 8905134979142': ' Lavender Floral Asymmetric Dress'}","['Tops', ' Dresses', ' Bottoms', ' Jumpsuits']",['All Clothing'],119,1,3590.0
1,289735928.1706373,{'8905134433910': 'Sage Green Embroidered Foil Print Jump Suit'},['Jumpsuits'],['All Clothing'],127,1,1100.0
3,2125170263.1707847,"{'8905134433965': 'Dark Green Floral Flared Dress', ' 8905724011542': ' Maroon Floral Flared Jumpsuit', ' 8905724367854': ' Wine Flounce Jumpsuit', ' 8905134817413': ' Coral Foil Print Fit & Flare Jump Suit', ' 8905724281495': ' Green Solid Embroidered Straight Top', ' 8905724361920': ' Take A Breather Maxi Dress', ' 8905134653035': ' Citrus Burst maxi dress', ' 8905724328527': ' Aasma dress', ' 8905134635802': ' Sage Green Embroidered Foil Print Jump Suit'}","['Jumpsuits', ' Dresses', ' Tops']",['All Clothing'],108,1,12905.0
2,1068353426.1706026,"{'8905134434092': 'Aqua Tie-Ups Geometric Top', ' 8905724198076': ' Solid  Shorts', ' 8905134831921': ' Embroidered Solid Jump Suit', ' 8905134830603': ' Blue Smocking Geometric Jump Suit'}","['Tops', ' Jumpsuits', ' Bottoms']",['All Clothing'],131,4,8480.0
2,1068353426.1706026,"{'8905134826712': 'Indigo Solid Straight Top', ' 8905134826705': ' Indigo Embellished Straight Kurta'}","['Clearance Sale', ' Tops']","['Sale', ' All Clothing']",131,4,8480.0
2,1068353426.1706026,"{'8905134907787': 'Navy Blue Foil Print Straight Slip-On Kurta', ' 8905134824534': ' White Solid Straight Bottom'}","['Clearance Sale', ' Bottoms']","['All Clothing', ' Sale']",131,4,8480.0
2,1068353426.1706026,"{'8907861235348': 'White Geometric Fit & Flare Suit', ' 8905134431398': ' Geometric Print Round Neck Knee Length Dress', ' 8905134825432': ' Yellow Geometric Asymmetric Dress'}","['Dresses', ' Clearance Sale']","['All Clothing', ' Sale']",131,4,8480.0
0,1965996019.1702983,"{'8905134434863': 'Red Floral Straight Set', ' 8905724193446': ' Lilac Floral Lace A-Line Set', ' 8905724196805': ' White Floral Tassel Straight Dress', ' 8905724163333': ' Orange Ruffles Floral Dress'}","['Sets', ' Dresses']",['All Clothing'],81,1,3168.0
1,1199057895.1708057,{'8905134435952': 'Coral Floral Flared Top'},['Tops'],['All Clothing'],107,1,580.0
1,1538377850.170886,"{'8905134435952': 'Red Floral Tassel Peplum Top', ' 8905134652625': ' Blue Geometric Flared Top', ' 8905724196690': ' Pink Floral Flared Top', ' 8905134652922': ' Yellow Solid Embroidered Straight Top', ' 8905724195075': ' Coral Floral Flared Top'}",['Tops'],['All Clothing'],92,1,2440.0
1,49491180.170600705,"{'8905134436362': 'Pink Ruffles Tie & Dye Dress', ' 8905724368981': ' Yellow Embroidered Solid Dress', ' 8905134433606': ' All About Aqua Co-ords Set'}","['Women', ' Dresses']","['End of Season Sale', ' All Clothing']",128,1,2495.0
1,1546561991.1705463,"{'8905134436645': 'Desi Dhamaka Co-ords Set', ' 8905724390241': ' Floral Straight Set-2', ' 8905724106798': ' Black Floral-Polka Co-ords Set', ' 8905724369964': ' Beige Ethnic Motifs Sharara', ' 8905724374760': ' Watercolour\xa0Wake Co-ords Set', ' 8905134342489': ' Pink Tie-Ups Floral Suit', ' 8905134650010': ' Black Floral Straight Suit', ' 8905724372308': ' Gulaab Set'}","['Co-Ord Sets', ' Clearance Sale', ' Black Friday Sale', ' Sets', ' Co-ords', ' Women']","['End of Season Sale', ' Diwali Sale Upto 70% off', ' All Clothing', ' Sale']",135,1,9675.0
1,1897694200.1678553,"{'8905134439073': 'Powder Blue Solid Straight Top', ' 8905134850045': ' Sage Green Regular A-Line Kurta', ' 8905134738954': ' Waves Straight Top', ' 8905724369490': ' Indigo Floral Flared Top', ' 8905724004315': ' Pink Geometric Tunic'}","['Clearance Sale', ' Tops']","['All Clothing', ' Sale']",119,1,3605.0
2,1774688676.168373,"{'8905134440062': 'Gold Regular Straight Bottom', ' 8905134908807': ' Mustard Foil Print Flared Slip-On Kurta', ' 8905724211058': ' Pink Co-ords Set'}","['Black Friday Sale', ' Kurtas', ' Bottoms']","['Kurtas &amp; Kurta Sets', ' All Clothing', ' Sale']",129,5,12725.0
2,1774688676.168373,"{'8905724277962': 'Solid Lace Fit And Flare Kurta', ' 8905724293641': ' Sun’S Out Summer Dress'}","['Dresses', ' Kurtas']","['All Clothing', ' Kurtas &amp; Kurta Sets']",129,5,12725.0
2,1774688676.168373,{'8905724385827': 'Hello Festivities Flared Set'},['Kurta Sets'],['Kurtas &amp; Kurta Sets'],129,5,12725.0
2,1774688676.168373,"{'8905724385827': 'Fire Of Forest Dress', ' 8905724375637': ' Hello Festivities Flared Set'}","['Dresses', ' Kurta Sets']","['Kurtas &amp; Kurta Sets', ' All Clothing']",129,5,12725.0
2,1774688676.168373,{'8905724410222': 'All for print cotton midi dress'},['Dresses'],['All Clothing'],129,5,12725.0
0,245191378.17050353,{'8905134441007': 'Indigo Regular A-Line Dhoti Set'},['Clearance Sale'],['Sale'],62,2,2170.0
0,245191378.17050353,{'8905134639756': 'Dark Blue Ethnic Motifs Flared Top'},['Tops'],['All Clothing'],62,2,2170.0
1,2015789842.1705651,"{'8905134456414': 'Black Geometric Flared Concealed Zip Jump Suit', ' 8905134906520': ' Pink Geometric Cut Out Jumpsuit'}","['Jumpsuits', ' Clearance Sale']","['Sale', ' All Clothing']",135,1,1790.0
0,1842250054.1710236,"{'8905134468455': 'Navy Sling Hand Bag', ' 8905724369520': ' Wine Solid Straight Top', ' 8905134927198': ' Waves Straight Top'}","['Tops', ' Bags']","['All Clothing', ' All Accessories']",49,1,2265.0
0,473229993.17120457,{'8905134468509': 'Black Sling Hand Bag'},['Bags'],['All Accessories'],61,1,1300.0
1,1374683897.1700895,{'8905134468561': 'Blue Sling Hand Bag'},['Bags'],['All Accessories'],102,1,1450.0
1,352537604.1706692,{'8905134468578': 'Wine Sling Hand Bag'},['Bags'],['All Accessories'],123,1,1450.0
1,429403573.1706449,"{'8905134470595': 'Green Scarf', ' 8905724374975': ' Garden Of Flowers Straight Top'}","['Tops', ' Accessories upto 50% Off']","['Sale', ' All Clothing']",126,1,1525.0
0,2069028274.1710052,{'8905134470625': 'Solid Sage Green Dupatta'},['Scarves &amp; Stoles'],['All Accessories'],84,1,500.0
0,58277107.17124924,{'8905134470632': 'Solid Coral Dupatta'},['Scarves &amp; Stoles'],['All Accessories'],56,1,899.0
0,396256132.1709902,"{'8905134501503': 'Green Scarf', ' 8905134745044': ' Gold Scarf', ' 8905134745037': ' Off White Tapered Bottom', ' 8905724152627': ' Green Chanderi Scarf', ' 8905134146377': ' Warli Inspired Shirt', ' 8905724288128': ' Black Scarf', ' 8905724199691': ' Gold Chanderi Scarf', ' 8905724152573': ' Indigo Geometric Lace Straight Kurta', ' 8905724085987': ' Beige Scarf', ' 8905134272755': ' BLACK SCARF', ' 8905134501480': ' Peach Print Scarf\xa0', ' 8905134501473': ' Pink Chanderi Scarf', ' 8905134898160': ' Pink Scarf', ' 8905134988045': ' Pink Scarv', ' 8905134146384': ' Off White Chanderi Scarf', ' 8905724199752': ' MULTI SCARF', ' 8905134102113': ' Multi Coloured Cotton Scarf'}","['Bottoms', ' Tops', ' Accessories upto 50% Off', ' Scarves &amp; Stoles', ' Kurtas']","['New Accessories', ' Kurtas &amp; Kurta Sets', ' All Clothing', ' Sale', ' All Accessories']",83,2,350.0
